repo	theme	total	open	top
google-gemini/gemini-cli	mcp	485	20	#2136(28,closed) Support Image Content in MCP tool results || #18987(24,closed) [Gemini Code Assist VSCode Extension] MCP Servers are not working, stuck in "Con || #1600(19,closed) Enable MCP server mode
anomalyco/opencode	mcp	845	134	#988(116,closed) Feature request: add MCP remote using oauth || #8625(84,closed) [FEATURE]:Add mcp search tool, reduce mcp tool occupying a lot of context || #10884(56,open) [FEATURE]: Add Support for MCP Apps in the desktop app
cline/cline	mcp	262	51	#1959(34,closed) MCP servers: no way to see logs || #4523(16,closed) MCP servers are not allowed to use oauth || #3144(17,closed) Can't reuse `.vscode/mcp.json` for Cline configuration
anthropics/claude-code	multi_agent	2346	596	#6915(378,closed) Allow MCP tools to be available only to subagent || #24122(94,open) Agent Teams: Add zellij terminal multiplexer support for split-pane mode || #24189(73,open) [Feature Request] Add Ghostty as a split-pane backend for agent teams (teammateM
openai/codex	multi_agent	470	311	#2604(413,closed) Subagent Support || #31814(205,closed) GPT-5.6 Sol cannot specify subagent models, forcing all subagents to also be Sol || #11701(61,closed) Subagent configuration and orchestration
google-gemini/gemini-cli	multi_agent	169	35	#19430(43,open) Feature Request: Parallel Agent Teams / Multi-Agent Collaboration (like Claude C || #3423(19,closed) Add a sub agent tool like claude cli || #11773(9,closed) Support SubAgent architecture
anomalyco/opencode	multi_agent	598	120	#12661(189,closed) [FEATURE]: Add Agent Teams Equivalent or Better || #5887(99,closed) [feat] True Async/Background Sub-Agent Delegation || #6651(77,open) [FEATURE]: Dynamic model selection for subagents via Task tool
cline/cline	multi_agent	7	5	#11364(3,open) Subagent document reads frequently return truncated content, forcing parent task || #10179(1,open) Sub-agents do not work properly with z-ai/glm-5 (and glm-5.1) || #12589(0,open) Feature Request: Support parallel specialized sub-agents for Odoo development
anthropics/claude-code	rate_limits	1460	165	#53262(532,closed) HERMES.md in git commit messages causes requests to route to extra usage billing || #46829(342,closed) Cache TTL silently regressed from 1h to 5m around early March 2026, causing quot || #13354(210,open) [FEATURE] Continue when the session limit reached
openai/codex	rate_limits	487	271	#28879(560,closed) Codex (gpt-5.5, Plus plan) — rate-limit cost per token jumped ~10-20x since June || #6172(45,closed) Hitting rate limits || #32503(31,open) GPT-5.6 Sol rarely parallelizes programmatic tool calls, multiplying model turns
google-gemini/gemini-cli	rate_limits	349	6	#24937(95,open) Tracking: 429 / Capacity Issues || #1502(94,closed) gemini-2.5-pro is [API Error: got status: 429 Too Many Requests. || #4300(52,closed) Whats is the quota limit? 1000 of gemini 2.5 pro?  You have reached your daily g
anomalyco/opencode	rate_limits	179	47	#18329(51,closed) Anthropic Claude Pro/Max OAuth login fails with 429 on token exchange || #38281(36,open) [FEATURE]: Add opencode-quota to the ecosystem page || #15988(27,open) [FEATURE]: Add "Retry Now" button to skip rate limit retry countdown
cline/cline	rate_limits	44	4	#713(12,closed) 429 {"type":"error","error":{"type":"rate_limit_error","message":"Number of requ || #15(4,closed) Extension Hangs when Hitting Rate Limit || #3560(3,closed) got status: 429 Too Many Requests. {"error":{"message":"exception parsing respon
